full_name,H,diameter,albedo,epoch,e,a,q,i,ad,moid,condition_code,rms
   244 Sita (A884 TA),11.99,11.077,0.256,2461000.5,0.1367639839589727,2.17432773518455,1.876958011688221,2.846891691942384,2.471697458680879,0.877121,0.0,0.36458
   245 Vera (A885 CA),7.96,75.949,0.228,2461000.5,0.1975758913399179,3.095080968746911,2.483567587577524,5.179189068895957,3.706594349916299,1.49069,0.0,0.24064
   246 Asporina (A885 EA),8.63,50.891,0.193,2461000.5,0.1069881773316435,2.697415732644425,2.408824139903098,15.62092577050486,2.986007325385752,1.4528,0.0,0.24289
   247 Eukrate (A885 EB),8.16,130.935,0.064,2461000.5,0.2464054311101354,2.739175156133931,2.064227520900577,24.95549734899473,3.414122791367284,1.14967,0.0,0.39812
   248 Lameia (A885 LA),10.25,50.12,0.062,2461000.5,0.0678993210632896,2.47051081372397,2.302764806792597,4.065250500176221,2.638256820655343,1.28616,0.0,0.3371
   249 Ilse (A885 QA),11.42,34.83,0.0428,2461000.5,0.2172997354191959,2.378320381025406,1.861511991486504,9.6209249444182,2.895128770564309,0.872914,0.0,0.25981
   250 Bettina (A885 RA),7.68,120.995,0.112,2461000.5,0.1369714325442495,3.141326428556557,2.711054447548054,12.82180825108195,3.571598409565059,1.76265,0.0,0.16382
   251 Sophia (A885 TA),9.96,27.495,0.234,2461000.5,0.0933634161966856,3.09906960747067,2.809729881885887,10.54878900644734,3.388409333055454,1.84775,0.0,0.27935
   252 Clementina (A885 TB),9.94,65.344,0.047,2461000.5,0.0656578405527529,3.160177313044252,2.952686894905965,10.03621013722943,3.367667731182539,1.95199,0.0,0.26801
   253 Mathilde (A885 VA),10.35,52.8,0.0436,2461000.5,0.2643700034888614,2.646519093622034,1.946858831607838,6.740899232107417,3.346179355636229,0.938539,0.0,0.37661
   254 Augusta (A886 FA),11.85,12.467,0.17,2461000.5,0.1216228191212726,2.194562579167853,1.927653691551408,4.50722251452201,2.461471466784298,0.914809,0.0,0.2153
   255 Oppavia (A886 FB),10.53,56.939,0.038,2461000.5,0.0789622047054973,2.74659021029433,2.529713391866954,9.460609647149822,2.963467028721705,1.53758,0.0,0.22766
   256 Walpurga (A886 GA),9.92,66.634,0.05,2461000.5,0.063050192599672,3.002779101119442,2.813453300459591,13.2974611332404,3.192104901779293,1.82445,0.0,0.32546
   257 Silesia (A886 GB),9.69,72.66,0.0545,2461000.5,0.1124045882932608,3.119250612893843,2.768632531968009,3.61200606967121,3.469868693819676,1.78259,0.0,0.28338
   258 Tyche (A886 JA),8.26,64.78,0.1676,2461000.5,0.2048562217467971,2.614489506326661,2.078895064263933,14.32679842367133,3.150083948389389,1.08531,0.0,0.38054
   259 Aletheia (A886 MA),7.81,174.318,0.043,2461000.5,0.1299692665783229,3.133531985524786,2.726269131566414,10.80839047869475,3.540794839483159,1.71116,0.0,0.37823
   260 Huberta (A886 TA),9.28,101.539,0.044,2461000.5,0.1067250190659558,3.452994135079155,3.084473270178199,6.416835853001662,3.821514999980111,2.07572,0.0,0.2928
   261 Prymno (A886 UA),9.56,50.011,0.137,2461000.5,0.0904068731829774,2.331033904040116,2.120292417492341,3.633978178701367,2.541775390587892,1.13047,0.0,0.29392
   262 Valda (A886 VA),11.68,14.645,0.211,2461000.5,0.2121872099337431,2.552617121156086,2.010984416188873,7.668553253095511,3.0942498261233,1.02666,0.0,0.18589
   263 Dresda (A886 VB),10.24,23.952,0.198,2461000.5,0.0806594576668621,2.884678449402722,2.652001850130614,1.32254688351257,3.117355048674831,1.65247,0.0,0.36453
   264 Libussa (A886 YA),8.31,62.969,0.187,2461000.5,0.1350899220490536,2.7991203993207,2.420987442770551,10.42509639956715,3.17725335587085,1.42904,0.0,0.36007
   265 Anna (A887 DA),11.87,22.767,0.113,2461000.5,0.2657789606615836,2.421725367325836,1.778081716190184,25.64363893603596,3.065369018461489,0.916271,0.0,0.32848
   266 Aline (A887 KA),8.72,109.494,0.027,2461000.5,0.1548463939524662,2.80594939129526,2.371458246440071,13.39965963483686,3.240440536150448,1.38531,0.0,0.348
   267 Tirza (A887 KB),10.23,55.998,0.051,2461000.5,0.1025679778029255,2.772929772387806,2.488515973044462,6.009813158865301,3.057343571731149,1.47145,0.0,0.31839
