rowid,pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,ra,dec,sy_dist,sy_plx
334,CoRoT-3 b,CoRoT-3,b,Transit,2008,8.46321,0.11339,6558.0,1.44,1.41,292.0552827,0.1218359,768.771,1.27472
335,CoRoT-3 b,CoRoT-3,b,Transit,2008,4.2567994,0.05694,4651.4349999999995,1.54,1.359,292.0552827,0.1218359,768.771,1.27472
336,CoRoT-3 b,CoRoT-3,b,Transit,2008,4.2568,0.11339,6740.0,1.56,1.37,292.0552827,0.1218359,768.771,1.27472
337,CoRoT-3 b,CoRoT-3,b,Transit,2008,4.2567994,0.05783,6740.0,1.575,1.403,292.0552827,0.1218359,768.771,1.27472
338,CoRoT-3 b,CoRoT-3,b,Transit,2008,4.2567994,0.0574,6740.0,1.56,1.37,292.0552827,0.1218359,768.771,1.27472
339,CoRoT-30 b,CoRoT-30,b,Transit,2020,9.06005,0.0844,5650.0,0.91,0.98,277.6011767,6.8359338,1032.23,0.942447
340,CoRoT-31 b,CoRoT-31,b,Transit,2020,4.62941,0.0586,5700.0,2.15,1.25,94.820735,-4.4222978,2005.76,0.470026
341,CoRoT-32 b,CoRoT-32,b,Transit,2018,6.7183678,0.11339,5970.0,0.79,1.08,100.1951714,9.2573953,576.683,1.70589
342,CoRoT-32 b,CoRoT-32,b,Transit,2018,6.71837,0.071,5970.0,0.79,1.08,100.1951714,9.2573953,576.683,1.70589
343,CoRoT-35 b,CoRoT-35,b,Transit,2022,3.22748,0.0429,6390.0,1.65,1.01,289.3143526,-2.7747085,1123.21,0.863975
344,CoRoT-36 b,CoRoT-36,b,Transit,2022,5.616531,0.066,6730.0,1.52,1.32,277.7510149,7.1833465,925.958,1.05227
345,CoRoT-4 b,CoRoT-4,b,Transit,2008,9.20205,0.09,6190.0,1.17,1.16,102.1946233,-0.6727861,726.412,1.34844
346,CoRoT-4 b,CoRoT-4,b,Transit,2008,9.20205,0.0912,6190.0,1.1475,1.194,102.1946233,-0.6727861,726.412,1.34844
347,CoRoT-4 b,CoRoT-4,b,Transit,2008,9.20164964154,0.11339,6190.0,1.12271,0.7315,102.1946233,-0.6727861,726.412,1.34844
348,CoRoT-4 b,CoRoT-4,b,Transit,2008,9.20205,0.09025,6190.0,1.17,1.16,102.1946233,-0.6727861,726.412,1.34844
349,CoRoT-5 b,CoRoT-5,b,Transit,2009,4.0379156,0.0495,4651.4349999999995,1.115,0.99,101.2772396,0.8152163,882.472,1.1054
350,CoRoT-5 b,CoRoT-5,b,Transit,2009,4.0378962,0.04963,6100.0,1.186,1.0,101.2772396,0.8152163,882.472,1.1054
351,CoRoT-5 b,CoRoT-5,b,Transit,2009,4.0378962,0.05004,6100.0,1.0516,1.025,101.2772396,0.8152163,882.472,1.1054
352,CoRoT-5 b,CoRoT-5,b,Transit,2009,4.0379156,0.11339,4651.4349999999995,0.77,0.7315,101.2772396,0.8152163,882.472,1.1054
353,CoRoT-5 b,CoRoT-5,b,Transit,2009,4.0378962,0.04947,6100.0,1.186,1.0,101.2772396,0.8152163,882.472,1.1054
354,CoRoT-5 b,CoRoT-5,b,Transit,2009,4.03790124331,0.11339,6100.0,1.27299,0.7315,101.2772396,0.8152163,882.472,1.1054
355,CoRoT-6 b,CoRoT-6,b,Transit,2009,8.886593,0.0855,6090.0,1.043,1.054,281.0725563,6.6632062,645.294,1.52152
356,CoRoT-6 b,CoRoT-6,b,Transit,2009,8.886593,0.0855,6090.0,1.025,1.05,281.0725563,6.6632062,645.294,1.52152
357,CoRoT-6 b,CoRoT-6,b,Transit,2009,8.886593,0.0854,6090.0,1.025,1.05,281.0725563,6.6632062,645.294,1.52152
358,CoRoT-6 b,CoRoT-6,b,Transit,2009,8.8866287,0.11339,4651.4349999999995,0.77,0.7315,281.0725563,6.6632062,645.294,1.52152
359,CoRoT-7 b,CoRoT-7,b,Transit,2009,0.85359163,0.11339,5275.0,0.83,0.82,100.9561682,-1.0630076,159.906,6.22504
360,CoRoT-7 b,CoRoT-7,b,Transit,2009,0.853585,0.017,5256.0,0.864273,0.899,100.9561682,-1.0630076,159.906,6.22504
361,CoRoT-7 b,CoRoT-7,b,Transit,2009,0.853585,0.0172,5275.0,0.87,0.93,100.9561682,-1.0630076,159.906,6.22504
362,CoRoT-7 b,CoRoT-7,b,Transit,2009,0.8535,0.11339,5250.0,0.77,0.915,100.9561682,-1.0630076,159.906,6.22504
363,CoRoT-7 b,CoRoT-7,b,Transit,2009,0.85359165,0.017,5256.0,0.864273,0.899,100.9561682,-1.0630076,159.906,6.22504
364,CoRoT-7 b,CoRoT-7,b,Transit,2009,0.853585,0.0169,5250.0,0.96,0.884,100.9561682,-1.0630076,159.906,6.22504
365,CoRoT-7 b,CoRoT-7,b,Transit,2009,0.854,0.11339,5313.0,0.8389,0.884,100.9561682,-1.0630076,159.906,6.22504
366,CoRoT-7 b,CoRoT-7,b,Transit,2009,0.85359159,0.017016,5259.0,0.82,0.913,100.9561682,-1.0630076,159.906,6.22504
367,CoRoT-7 c,CoRoT-7,c,Radial Velocity,2009,3.697,0.11339,5250.0,0.77,0.915,100.9561682,-1.0630076,159.906,6.22504
368,CoRoT-7 c,CoRoT-7,c,Radial Velocity,2009,3.698,0.046,5256.0,0.864273,0.899,100.9561682,-1.0630076,159.906,6.22504
369,CoRoT-7 c,CoRoT-7,c,Radial Velocity,2009,3.7,0.045,5256.0,0.864273,0.899,100.9561682,-1.0630076,159.906,6.22504
370,CoRoT-7 d,CoRoT-7,d,Radial Velocity,2022,8.966,0.11339,5250.0,0.77,0.915,100.9561682,-1.0630076,159.906,6.22504
371,CoRoT-8 b,CoRoT-8,b,Transit,2010,6.21229,0.063,5080.0,0.77,0.88,291.5885696,1.4262972,322.037,3.07662
