full_name,H,diameter,albedo,epoch,e,a,q,i,ad,moid,condition_code,rms
     C/1857 O1 (Peters),,,,2399560.5,0.980414,38.1314715,0.746843,32.7565,75.5160999,,,
     C/1857 Q1 (Klinkerfues),,,,2399588.8799,0.996913,182.3446712,0.562898,123.9614,364.1264444,,,
     C/1857 V1 (Donati-van Arsdale),,,,2399638.0641,1.0,,1.009088,142.1557,,,,
     C/1858 K1 (Bruhns),,,,2399836.2956,1.0,,0.544261,99.9713,,,,
     C/1858 L1 (Donati),,,,2399960.5,0.996295,156.1319838,0.578469,116.9512,311.6854986,,,
     C/1858 R1 (Tuttle),,,,2399965.8102,1.0,,1.427002,158.7051,,,,
     C/1859 G1 (Tempel),,,,2400194.2261,1.0,,0.201032,95.4894,,,,
     C/1860 D1-A (Liais),,,,2400457.6249,1.0,,1.198875,79.6819,,,,
     C/1860 D1-B (Liais),,,,2400457.6697,1.0,,1.198174,79.6193,,,,
     C/1860 H1 (Rumker),,,,2400475.5655,1.0,,1.306664,48.236,,,,
     C/1860 M1 (Great comet),,,,2400632.5,1.0,,0.292885,79.3233,,,,
     C/1860 U1 (Tempel),,,,2400676.3119,1.0,,0.682653,32.2097,,,,
     C/1861 G1 (Thatcher),,,,2400920.5,0.983465,55.6818869,0.9207,79.7733,110.4430738,,,
     C/1861 J1 (Great comet),,,,2400920.5,0.98507,55.0826524,0.822384,85.4424,109.3429208,,,
     C/1861 Y1 (Tuttle),,,,2401117.1744,1.0,,0.839027,138.0019,,,,
     C/1862 N1 (Schmidt),,,,2401325.5,1.0,,0.981328,172.1091,,,,
     C/1862 W1 (Respighi),,,,2401503.1741,1.0,,0.803238,137.5412,,,,
     C/1862 X1 (Bruhns),,,,2401520.5,1.000049,-16219.6734694,0.794764,85.3553,,,,
     C/1863 G1 (Klinkerfues),,,,2401600.5,0.999159,1269.9619501,1.068038,112.6209,2538.8558621,,,
     C/1863 G2 (Respighi),,,,2401600.5,0.999079,682.7155266,0.628781,85.4961,1364.8022722,,,
     C/1863 T1 (Baeker),,,,2401880.5,1.000665,-1974.6075188,1.313114,83.3151,,,,
     C/1863 V1 (Tempel),,,,2401800.5,0.998879,630.1632471,0.706413,78.0817,1259.6200812,,,
     C/1863 Y1 (Respighi),,,,2401899.5,1.0,,0.771492,64.4906,,,,
     C/1864 N1 (Tempel),,,,2402080.5,0.996351,249.1888189,0.90929,178.1269,497.4683477,,,
     C/1864 O1 (Donati-Toussaint),,,,2402160.5,0.999358,1450.4859813,0.931212,109.7124,2900.0407506,,,
     C/1864 R1 (Donati),,,,2402080.8118,1.0,,0.626106,134.9822,,,,
     C/1864 X1 (Baeker),,,,2402228.4511,1.0,,0.770731,48.8623,,,,
     C/1864 Y1 (Bruhns),,,,2402252.5,1.0,,1.114634,162.8931,,,,
     C/1865 B1 (Great southern comet),,,,2402251.3253,1.0,,0.025844,92.4945,,,,
     C/1867 S1 (Baeker-Winnecke),,,,2403277.9608,1.0,,0.330359,96.5735,,,,
     C/1868 L1 (Winnecke),,,,2403510.4763,1.0,,0.578577,131.5581,,,,
     C/1869 T1 (Tempel),,,,2403980.8496,1.0,,1.230731,111.6853,,,,
     C/1870 K1 (Winnecke),,,,2404227.5,1.0,,1.008692,121.7835,,0.0221548,,6.2923
     C/1870 Q1 (Coggia),,,,2404351.5,1.0,,1.816685859329131,99.36214761560636,,0.820173,,1.2144
     C/1870 W1 (Winnecke),,,,2404395.5,1.000245808898984,-1585.34007286747,0.3896906978268747,147.289297922724,,0.0945084,,1.6665
     C/1871 G1 (Winnecke),,,,2404535.5,0.991521505283544,76.47529570311117,0.6483953905582305,87.61329418116014,152.3021960156641,0.220955,6.0,0.80772
     C/1871 L1 (Tempel),,,,2404590.5,1.0,,1.083363,101.9782,,,,
     C/1871 V1 (Tempel),,,,2404800.5,0.995714,161.2851143,0.691268,98.2992,321.8789607,,,
     C/1873 Q1 (Borrelly),,,,2405400.5,0.996482,225.7137578,0.794061,95.9662,450.6334546,,,
     C/1873 Q2 (Henry),,,,2405440.5,0.99973,1425.6037037,0.384913,121.4625,2850.8224944,,,
     C/1874 D1 (Winnecke),,,,2405592.9346,1.0,,0.044568,58.8932,,,,
     C/1874 G1 (Winnecke),,,,2405657.5,1.0,,0.885773,148.4122,,,,
     C/1874 H1 (Coggia),,,,2405720.5,0.99882,572.6966102,0.675782,66.3439,1144.7174383,,,
     C/1874 O1 (Borrelly),,,,2405762.8436,0.998831,840.5893926,0.982649,41.8266,1680.1961363,,,
     C/1874 Q1 (Coggia),,,,2405720.5,0.962822,45.402792,1.687985,34.1267,89.1175989,,,
