rowid,pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,st_spectype,st_teff,st_rad,st_mass,ra,dec,sy_dist,sy_plx
401,EPIC 201497682 b,EPIC 201497682,b,Transit,2019,2.13174,,0.692,0.0617361,,,,,,0.78,168.9366786,0.4880606,253.026,3.92339
402,EPIC 201595106 b,EPIC 201595106,b,Transit,2021,0.87703,,1.2,0.11,,,,5711.17,0.990833,1.018,183.7203635,1.9681688,232.1,4.28034
403,EPIC 201595106 b,EPIC 201595106,b,Transit,2021,0.877214,,1.3,0.11597843,,,,5820.0,0.93,,183.7203635,1.9681688,232.1,4.28034
404,EPIC 201595106 b,EPIC 201595106,b,Transit,2021,0.877183,,1.40575209,0.13,,,,5705.0,0.932487,,183.7203635,1.9681688,232.1,4.28034
405,EPIC 201595106 b,EPIC 201595106,b,Transit,2021,0.87724,0.0177,1.565,0.13962019,7.67,0.02413252,,5679.0,0.98,0.958,183.7203635,1.9681688,232.1,4.28034
406,EPIC 201615463 c,K2-166,c,Transit,2019,3.80464,,1.22,0.10884111,,,,,,1.073,185.1880932,2.2823788,476.882,2.06877
407,EPIC 201754305 d,K2-16,d,Transit,2019,2.71578,,1.03,0.09189045,,,,,,0.67,175.0972238,4.5574311,334.967,2.95691
408,EPIC 201757695.02,EPIC 201757695,b,Transit,2020,2.0478,0.0296,0.90819,0.08102328,,,,4520.0,0.655,0.727,173.9385102,4.6164303,,
409,EPIC 201833600 c,K2-50,c,Transit,2019,3.96165,,1.48,0.132,,,,,0.634,,169.483654,5.988289,257.443,3.85616
410,EPIC 201833600 c,K2-50,c,Transit,2019,3.96151,,1.0,0.08921402,,,,,,0.611,169.483654,5.988289,257.443,3.85616
411,EPIC 201841433 b,EPIC 201841433,b,Transit,2019,4.16959,,1.1,0.09813543,,,,,,0.802,175.206752,6.1348146,436.488,2.26274
412,EPIC 201841433 b,EPIC 201841433,b,Transit,2019,4.1698,0.035,1.04,0.09278259,,,,5053.0,0.628461,0.802,175.206752,6.1348146,436.488,2.26274
